,Year,Prodcom code,Commodity code,Prodcom Description,Commodity Description
40,2025,08.12.11.50,25051000,"Silica sands and quartz sands, whether or not coloured","Silica sands and quartz sands, whether or not coloured"
41,2025,08.12.12.00,25059000,"Natural sands of all kinds, whether or not coloured, such as clayey sands; kaolinic sands; feldspathic sands (excluding silica sands, quartz sands, metal bearing sands)","Natural sands of all kinds, whether or not coloured (excl. silica sands, quartz sands, gold- and platinum-bearing sands, zircon, rutile and ilmenite sands, monazite sands, and tar or asphalt sands)"
42,2025,08.12.13.01,25171010,"Gravel and pebbles of a kind used for concrete aggregates, for road metalling or for railway or other ballast; shingle and flint","Pebbles and gravel for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated"
43,2025,08.12.14.00,25172000,"Mixtures of slag and similar industrial waste products, whether or not incorporating pebbles, gravel, shingle and flint for construction use","Macadam of slag, dross or similar industrial waste, whether or not incorporating pebbles, gravel, shingle and flint for concrete aggregates, for road metalling or for railway or other ballast"
44,2025,08.12.21.40,25070020,"Kaolin, not calcined",Kaolin
45,2025,08.12.21.60,25070080,Kaolinic clays (other than kaolin),Kaolinic clays (other than kaolin)
46,2025,08.12.22.10,25081000,Bentonite,Bentonite
47,2025,08.12.22.30,25083000,Fireclay,Fireclay (excl. kaolin and other kaolinic clays and expanded clay)
48,2025,08.12.22.55,25084000,Other clays,"Clays (excl. fireclay, bentonite, kaolin and other kaolinic clays and expanded clay)"
49,2025,08.12.22.60,25085000,"Andalusite, kyanite and sillimanite","Andalusite, kyanite and sillimanite"
50,2025,08.12.22.70,25086000,Mullite,Mullite
51,2025,08.12.22.80,25087000,Chamotte or dinas earths,Chamotte or dinas earths
52,2025,08.91.01.00,25101000,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic chalk, unground"
53,2025,08.91.01.00,25102000,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic chalk, ground"
54,2025,08.91.02.10,25020000,Unroasted iron pyrites,Unroasted iron pyrites
55,2025,08.91.02.20,25030010,Crude or unrefined sulphur (including recovered sulphur),"Crude or unrefined sulphur (excl. sublimed sulphur, precipitated sulphur and colloidal sulphur)"
56,2025,08.91.09.10,25111000,Natural barium sulphate (barytes) and carbonate (witherite),"""Natural barium sulphate """"barytes"""""""
57,2025,08.91.09.10,25112000,Natural barium sulphate (barytes) and carbonate (witherite),"""Natural barium carbonate """"witherite"""", whether or not calcined (excl. barium oxide)"""
58,2025,08.91.09.11,25280000,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight","Borates, natural, and concentrates thereof, whether or not calcined, and natural boric acids containing <= 85% of H3BO3 calculated on the dry weight (excl. borates separated from natural brine)"
59,2025,08.91.09.12,25292100,Fluorspar,Fluorspar containing by weight <= 97% calcium fluoride
60,2025,08.91.09.12,25292200,Fluorspar,Fluorspar containing by weight > 97% calcium fluoride
61,2025,08.91.09.13,25302000,"Kieserite, epsomite (natural magnesium sulphates)","""Kieserite and epsomite """"natural magnesium sulphates"""""""
62,2025,08.91.09.19,25309030,"Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances n.e.c . (excluding vermiculite, perlite and chlorites, unexpanded and kieserite, epsomite (natural magnesium sulphates))",Celestine and strontianite
63,2025,08.91.09.19,25309040,"Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances n.e.c . (excluding vermiculite, perlite and chlorites, unexpanded and kieserite, epsomite (natural magnesium sulphates))","Spodumene, petalite, lepidolite, amblygonite, hectorite, jadarite and similar minerals, suitable for the extraction of lithium"
64,2025,08.91.09.19,25309050,"Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances n.e.c . (excluding vermiculite, perlite and chlorites, unexpanded and kieserite, epsomite (natural magnesium sulphates))","Bastnaesite, xenotime and similar minerals, suitable for the extraction of rare-earth metals, scandium or yttrium"
65,2025,08.91.09.19,25309070,"Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances n.e.c . (excluding vermiculite, perlite and chlorites, unexpanded and kieserite, epsomite (natural magnesium sulphates))","Arsenic sulfides, alunite, pozzuolana, earth colours and other mineral substances, n.e.s."
66,2025,08.93.00.00,25010031,"Salt (including salt for chemical transformation ""separation of Na from Cl"", denatured salt and salt for other industrial uses but excluding salt suitable for human consumption) and pure sodium chloride, whether or not in aqueous solution or containing ad","""Salt for chemical transformation """"separation of Na from Cl"""" for the manufacture of other products"""
67,2025,08.93.00.00,25010051,"Salt (including salt for chemical transformation ""separation of Na from Cl"", denatured salt and salt for other industrial uses but excluding salt suitable for human consumption) and pure sodium chloride, whether or not in aqueous solution or containing ad","Salt, denatured or for other industrial uses, incl. refining (excl. for chemical transformation or preservation or preparation of foodstuffs for human or animal consumption)"
68,2025,08.93.00.00,25010099,"Salt (including salt for chemical transformation ""separation of Na from Cl"", denatured salt and salt for other industrial uses but excluding salt suitable for human consumption) and pure sodium chloride, whether or not in aqueous solution or containing ad","""Salt and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents (excl. table salt, salt for chemical transformation """"separation of Na from Cl"""", denatured salt and salt for other industrial uses)"""
69,2025,08.99.10.00,27149000,Natural bitumen and natural asphalt; asphaltites and asphaltic rocks,"""Bitumen and asphalt, natural; asphaltites and asphaltic rocks"""
70,2025,08.99.21.10,71021000,"Diamonds, unsorted; non-industrial diamonds unworked or simply sawn, cleaved or bruted","Diamonds, unsorted"
71,2025,08.99.21.10,71023100,"Diamonds, unsorted; non-industrial diamonds unworked or simply sawn, cleaved or bruted","Non-industrial diamonds unworked or simply sawn, cleaved or bruted (excl. industrial diamonds)"
72,2025,08.99.21.20,71031000,"Precious stones (other than diamonds) and semi-precious stones, unworked or simply sawn or roughly shaped","Precious stones and semi-precious stones, unworked or simply sawn or roughly shaped, whether or not graded (excl. diamonds and imitation precious stones and semi-precious stones)"
73,2025,08.99.22.10,71022100,"Industrial diamonds. Unworked or simply sawn, cleaved or bruted, but not mounted or set","Industrial diamonds unworked or simply sawn, cleaved or bruted"
74,2025,08.99.22.20,25131000,Pumice stone,Pumice stone
75,2025,08.99.22.30,25132000,"Emery, natural corundum, natural garnet and other natural abrasives, whether or not heat-treated","""Emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated"""
76,2025,08.99.23.10,25041000,Natural graphite,Natural graphite in powder or in flakes
77,2025,08.99.23.10,25049000,Natural graphite,Natural graphite (excl. in powder or in flakes)
78,2025,08.99.23.11,25191000,Natural magnesium carbonate (magnesite),"""Natural magnesium carbonate """"magnesite"""""""
79,2025,08.99.23.12,25199030,Dead-burned (sintered) magnesia,"""Dead-burned """"sintered"""" magnesia, whether or not containing small quantities of other oxides added before sintering"""
80,2025,08.99.23.13,25199090,Fused magnesia,Fused magnesia
81,2025,08.99.23.20,25061000,Other minerals,Quartz (excl. quartz sands)
82,2025,08.99.23.20,25120000,Other minerals,"Siliceous fossil meals, e.g. kieselguhr, tripolite and diatomite, and similar siliceous earths, whether or not calcined, of an apparent specific gravity of <= 1"
83,2025,08.99.23.20,25199010,Other minerals,"Magnesium oxide, whether or not pure (excl. calcined natural magnesium carbonate)"
84,2025,08.99.23.20,25241000,Other minerals,Crocidolite asbestos (excl. products made from crocidolite)
85,2025,08.99.23.20,25249000,Other minerals,Asbestos (excl. crocidolite and products made from asbestos)
86,2025,08.99.23.20,25251000,Other minerals,Crude mica and mica rifted into sheets or splittings
87,2025,08.99.23.20,25252000,Other minerals,Mica powder
88,2025,08.99.23.20,25253000,Other minerals,Mica waste
89,2025,08.99.23.20,25261000,Other minerals,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape, and talc, uncrushed or unpowdered"
90,2025,08.99.23.20,25262000,Other minerals,"Natural steatite and talc, crushed or powdered"
91,2025,08.99.23.20,25291000,Other minerals,Feldspar
92,2025,08.99.23.20,25293000,Other minerals,"Leucite, nepheline and nepheline syenite"
93,2025,08.99.23.20,25301000,Other minerals,"Vermiculite, perlite and chlorites, unexpanded"
94,2025,08.99.23.20,26219000,Other minerals,"""Slag and ash, incl. seaweed ash """"kelp"""" (excl. slag, incl. granulated, from the manufacture of iron or steel, ashes and residues containing arsenic, metals or metal compounds and those from the incineration of municipal waste)"""
95,2025,10.11.11.40,02011000,"Fresh or chilled carcases, half-carcases and quarters with bone in, of beef and veal","Carcases or half-carcases of bovine animals, fresh or chilled"
96,2025,10.11.11.40,02012020,"Fresh or chilled carcases, half-carcases and quarters with bone in, of beef and veal","""""""Compensated"""" quarters of bovine animals with bone in, fresh or chilled"""
97,2025,10.11.11.40,02012030,"Fresh or chilled carcases, half-carcases and quarters with bone in, of beef and veal","Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled"
98,2025,10.11.11.40,02012050,"Fresh or chilled carcases, half-carcases and quarters with bone in, of beef and veal","Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled"
99,2025,10.11.11.90,02012090,"Fresh or chilled cuts, of beef and veal","""Fresh or chilled bovine cuts, with bone in (excl. carcases and half-carcases, """"compensated quarters"""", forequarters and hindquarters)"""
100,2025,10.11.11.90,02013000,"Fresh or chilled cuts, of beef and veal","Fresh or chilled bovine meat, boneless"
101,2025,10.11.12.30,02031110,"Fresh or chilled carcases and half-carcases, of pig meat (including fresh meat packed with salt as a temporary preservative)",Fresh or chilled domestic swine carcases and half-carcases
102,2025,10.11.12.30,02031190,"Fresh or chilled carcases and half-carcases, of pig meat (including fresh meat packed with salt as a temporary preservative)",Fresh or chilled non-domestic swine carcases and half-carcases
103,2025,10.11.12.50,02031211,"Fresh or chilled hams, shoulders and cuts thereof with bone in, of pig meat (including fresh meat packed with salt as a temporary preservative)","Fresh or chilled with bone in, domestic swine hams and cuts thereof"
104,2025,10.11.12.50,02031219,"Fresh or chilled hams, shoulders and cuts thereof with bone in, of pig meat (including fresh meat packed with salt as a temporary preservative)","Fresh or chilled with bone in, domestic swine shoulders and cuts thereof"
105,2025,10.11.12.50,02031290,"Fresh or chilled hams, shoulders and cuts thereof with bone in, of pig meat (including fresh meat packed with salt as a temporary preservative)","Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine"
106,2025,10.11.12.90,02031911,"Fresh or chilled pig meat (including fresh meat packed with salt as a temporary preservative; excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)",Fresh or chilled fore-ends and cuts thereof of domestic swine
107,2025,10.11.12.90,02031913,"Fresh or chilled pig meat (including fresh meat packed with salt as a temporary preservative; excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)",Fresh or chilled loins and cuts thereof of domestic swine
108,2025,10.11.12.90,02031915,"Fresh or chilled pig meat (including fresh meat packed with salt as a temporary preservative; excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)","""Fresh or chilled bellies """"streaky"""" and cuts thereof of domestic swine"""
109,2025,10.11.12.90,02031955,"Fresh or chilled pig meat (including fresh meat packed with salt as a temporary preservative; excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)",Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof)
110,2025,10.11.12.90,02031959,"Fresh or chilled pig meat (including fresh meat packed with salt as a temporary preservative; excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)","Fresh or chilled meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)"
111,2025,10.11.12.90,02031990,"Fresh or chilled pig meat (including fresh meat packed with salt as a temporary preservative; excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)","Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, with bone in)"
112,2025,10.11.13.00,02041000,"Fresh or chilled carcases, half-carcases and cuts, of lamb or sheep",Fresh or chilled lamb carcases and half-carcases
113,2025,10.11.13.00,02042100,"Fresh or chilled carcases, half-carcases and cuts, of lamb or sheep",Fresh or chilled sheep carcases and half-carcases (excl. lambs)
114,2025,10.11.13.00,02042210,"Fresh or chilled carcases, half-carcases and cuts, of lamb or sheep",Fresh or chilled sheep short forequarters
115,2025,10.11.13.00,02042230,"Fresh or chilled carcases, half-carcases and cuts, of lamb or sheep",Fresh or chilled sheep chines and/or best ends
116,2025,10.11.13.00,02042250,"Fresh or chilled carcases, half-carcases and cuts, of lamb or sheep",Fresh or chilled sheep legs
117,2025,10.11.13.00,02042290,"Fresh or chilled carcases, half-carcases and cuts, of lamb or sheep","Fresh or chilled boneless cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
118,2025,10.11.13.00,02042300,"Fresh or chilled carcases, half-carcases and cuts, of lamb or sheep",Fresh or chilled boneless cuts of sheep
119,2025,10.11.14.00,02045011,"Meat of goats, fresh or chilled",Fresh or chilled goat carcases and half-carcases
120,2025,10.11.14.00,02045013,"Meat of goats, fresh or chilled",Fresh or chilled goat short forequarters
121,2025,10.11.14.00,02045015,"Meat of goats, fresh or chilled",Fresh or chilled goat chines and/or best ends
122,2025,10.11.14.00,02045019,"Meat of goats, fresh or chilled",Fresh or chilled legs of goat
123,2025,10.11.14.00,02045031,"Meat of goats, fresh or chilled","Fresh or chilled cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
124,2025,10.11.14.00,02045039,"Meat of goats, fresh or chilled",Fresh or chilled boneless cuts of goat
125,2025,10.11.15.00,02050020,"Meat of horses and other equines, fresh or chilled","Fresh or chilled meat of horses, asses, mules or hinnies"
126,2025,10.11.20.00,02061010,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, fresh or chilled",Fresh or chilled edible bovine offal for manufacture of pharmaceutical products
127,2025,10.11.20.00,02061095,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, fresh or chilled",Fresh or chilled edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)
128,2025,10.11.20.00,02061098,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, fresh or chilled","Fresh or chilled edible bovine offal (excl. for manufacture of pharmaceutical products, thick and thin skirt)"
129,2025,10.11.20.00,02063000,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, fresh or chilled",Fresh or chilled edible offal of swine
130,2025,10.11.20.00,02068010,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, fresh or chilled","Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies, for manufacture of pharmaceutical products"
131,2025,10.11.20.00,02068091,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, fresh or chilled","Fresh or chilled edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products)"
132,2025,10.11.20.00,02068099,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, fresh or chilled",Fresh or chilled edible offal of sheep and goats (excl. for manufacture of pharmaceutical products)
133,2025,10.11.31.00,02021000,"Frozen carcases, half-carcases, quarters and cuts, of beef and veal",Frozen bovine carcases and half-carcases
134,2025,10.11.31.00,02022010,"Frozen carcases, half-carcases, quarters and cuts, of beef and veal","""Frozen """"compensated"""" bovine quarters, with bone in"""
135,2025,10.11.31.00,02022030,"Frozen carcases, half-carcases, quarters and cuts, of beef and veal","Frozen unseparated or separated bovine forequarters, with bone in"
136,2025,10.11.31.00,02022050,"Frozen carcases, half-carcases, quarters and cuts, of beef and veal","Frozen unseparated or separated bovine hindquarters, with bone in"
137,2025,10.11.31.00,02022090,"Frozen carcases, half-carcases, quarters and cuts, of beef and veal","""Frozen bovine cuts, with bone in (excl. carcases and half-carcases, """"compensated"""" quarters, forequarters and hindquarters)"""
138,2025,10.11.31.00,02023010,"Frozen carcases, half-carcases, quarters and cuts, of beef and veal","""Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; """"compensated"""" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin, i"
139,2025,10.11.31.00,02023050,"Frozen carcases, half-carcases, quarters and cuts, of beef and veal","Frozen bovine boneless crop, chuck and blade and brisket cuts"
140,2025,10.11.31.00,02023090,"Frozen carcases, half-carcases, quarters and cuts, of beef and veal","""Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block """"compensated"""" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, a"
141,2025,10.11.32.30,02032110,"Frozen carcases and half-carcases, of pig meat",Frozen domestic swine carcases and half-carcases
142,2025,10.11.32.30,02032190,"Frozen carcases and half-carcases, of pig meat",Frozen non-domestic swine carcases and half-carcases
143,2025,10.11.32.50,02032211,"Frozen hams, shoulders and cuts with bone in, of pig meat","Frozen hams and cuts thereof of domestic swine, with bone in"
144,2025,10.11.32.50,02032219,"Frozen hams, shoulders and cuts with bone in, of pig meat","Frozen shoulders and cuts thereof of domestic swine, with bone in"
145,2025,10.11.32.50,02032290,"Frozen hams, shoulders and cuts with bone in, of pig meat","Frozen hams, shoulders and cuts thereof of non-domestic swine, with bone in"
146,2025,10.11.32.90,02032911,"Frozen pig meat (excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)",Frozen fore-ends and cuts thereof of domestic swine
147,2025,10.11.32.90,02032913,"Frozen pig meat (excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)","Frozen loins and cuts thereof of domestic swine, with bone in"
148,2025,10.11.32.90,02032915,"Frozen pig meat (excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)","""Frozen bellies """"streaky"""" and cuts thereof of domestic swine"""
149,2025,10.11.32.90,02032955,"Frozen pig meat (excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)",Frozen boneless meat of domestic swine (excl. bellies and cuts thereof)
150,2025,10.11.32.90,02032959,"Frozen pig meat (excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)","Frozen meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof)"
151,2025,10.11.32.90,02032990,"Frozen pig meat (excluding carcases and half-carcases, hams, shoulders and cuts thereof with bone in)","Frozen meat of non-domestic swine (excl. carcases and half-carcases and hams, shoulders and cuts thereof, with bone in)"
152,2025,10.11.33.00,02043000,"Frozen carcases, half-carcases and cuts, of lamb or sheep",Frozen lamb carcases and half-carcases
153,2025,10.11.33.00,02044100,"Frozen carcases, half-carcases and cuts, of lamb or sheep",Frozen sheep carcases and half-carcases (excl. lambs)
154,2025,10.11.33.00,02044210,"Frozen carcases, half-carcases and cuts, of lamb or sheep",Frozen sheep short forequarters
155,2025,10.11.33.00,02044230,"Frozen carcases, half-carcases and cuts, of lamb or sheep",Frozen sheep chines and/or best ends
156,2025,10.11.33.00,02044250,"Frozen carcases, half-carcases and cuts, of lamb or sheep",Frozen sheep legs
157,2025,10.11.33.00,02044290,"Frozen carcases, half-carcases and cuts, of lamb or sheep","Frozen cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
158,2025,10.11.33.00,02044310,"Frozen carcases, half-carcases and cuts, of lamb or sheep","Frozen meat of lambs, boneless, frozen"
159,2025,10.11.33.00,02044390,"Frozen carcases, half-carcases and cuts, of lamb or sheep","Frozen meat of sheep, boneless (excl. lamb)"
160,2025,10.11.34.00,02045051,"Frozen meat, of goats",Frozen goat carcases and half-carcases
161,2025,10.11.34.00,02045053,"Frozen meat, of goats",Frozen goat short forequarters
162,2025,10.11.34.00,02045055,"Frozen meat, of goats",Frozen goat chines and/or best ends
163,2025,10.11.34.00,02045059,"Frozen meat, of goats",Frozen goat legs
164,2025,10.11.34.00,02045071,"Frozen meat, of goats","Frozen cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs)"
165,2025,10.11.34.00,02045079,"Frozen meat, of goats",Frozen boneless cuts of goat
166,2025,10.11.35.00,02050080,"Frozen meat, of horses and other equines","Frozen meat of horses, asses, mules or hinnies"
167,2025,10.11.36.10,02062100,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, frozen",Frozen edible bovine tongues
168,2025,10.11.36.10,02062200,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, frozen",Frozen edible bovine livers
169,2025,10.11.36.10,02062910,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, frozen",Frozen edible bovine offal for manufacture of pharmaceutical products (excl. tongues and livers)
170,2025,10.11.36.10,02062991,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, frozen",Frozen edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products)
171,2025,10.11.36.10,02062999,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, frozen","Frozen edible bovine offal (excl. for manufacture of pharmaceutical products, tongues, livers and thick and thin skirt)"
172,2025,10.11.36.10,02064100,"Edible offal of bovine animals, swine, sheep, goats, horses and other equines, frozen",Frozen edible livers of swine
